Device ID,time_stamp,kWh,Power,Cumul kWh,,Device ID,time_stamp,kWh,Power,Cumul kWh,,kWh Sum,W Sum
522,2016-03-28 12:00:00-07:00,0.0273653,27.3653,2.1733987,,523,2016-03-28 12:00:00-07:00,0.05193105,51.93105,3.906547,,0.07929635,79.29635
522,2016-03-28 13:00:00-07:00,0.02868434,28.68434,2.20208304,,523,2016-03-28 13:00:00-07:00,0.05169566,51.69566,3.95824266,,0.08038,80.38
522,2016-03-28 14:00:00-07:00,0.02777844,27.77844,2.22986148,,523,2016-03-28 14:00:00-07:00,0.05089314,50.89314,4.0091358,,0.07867158,78.67158
522,2016-03-28 15:00:00-07:00,0.02735563,27.35563,2.25721711,,523,2016-03-28 15:00:00-07:00,0.05104422,51.04422,4.06018002,,0.07839985,78.39985
522,2016-03-28 16:00:00-07:00,0.02755548,27.55548,2.28477259,,523,2016-03-28 16:00:00-07:00,0.05173853,51.73853,4.11191855,,0.07929401,79.29401
522,2016-03-28 17:00:00-07:00,0.02754489,27.54489,2.31231748,,523,2016-03-28 17:00:00-07:00,0.05230635,52.30635,4.1642249,,0.07985124,79.85124
522,2016-03-28 18:00:00-07:00,0.02731658,27.31658,2.33963406,,523,2016-03-28 18:00:00-07:00,0.05152362,51.52362,4.21574852,,0.0788402,78.8402
522,2016-03-28 19:00:00-07:00,0.02734882,27.34882,2.36698288,,523,2016-03-28 19:00:00-07:00,0.05181452,51.81452,4.26756304,,0.07916334,79.16334
522,2016-03-28 20:00:00-07:00,0.0273188,27.3188,2.39430168,,523,2016-03-28 20:00:00-07:00,0.05127126,51.27126,4.3188343,,0.07859006,78.59006
522,2016-03-28 21:00:00-07:00,0.02744443,27.44443,2.42174611,,523,2016-03-28 21:00:00-07:00,0.05161794,51.61794,4.37045224,,0.07906237,79.06237
522,2016-03-28 22:00:00-07:00,0.02781544,27.81544,2.44956155,,523,2016-03-28 22:00:00-07:00,0.05118732,51.18732,4.42163956,,0.07900276,79.00276
522,2016-03-28 23:00:00-07:00,0.02713378,27.13378,2.47669533,,523,2016-03-28 23:00:00-07:00,0.05141676,51.41676,4.47305632,,0.07855054,78.55054
522,2016-03-29 00:00:00-07:00,0.02721938,27.21938,2.50391471,,523,2016-03-29 00:00:00-07:00,0.05135952,51.35952,4.52441584,,0.0785789,78.5789
522,2016-03-29 01:00:00-07:00,0.02680686,26.80686,2.53072157,,523,2016-03-29 01:00:00-07:00,0.0502887,50.2887,4.57470454,,0.07709556,77.09556
522,2016-03-29 02:00:00-07:00,0.0290539,29.0539,2.55977547,,523,2016-03-29 02:00:00-07:00,0.05119566,51.19566,4.6259002,,0.08024956,80.24956
522,2016-03-29 03:00:00-07:00,0.02710614,27.10614,2.58688161,,523,2016-03-29 03:00:00-07:00,0.05155479,51.55479,4.67745499,,0.07866093,78.66093
522,2016-03-29 04:00:00-07:00,0.03038226,30.38226,2.61726387,,523,2016-03-29 04:00:00-07:00,0.05216694,52.16694,4.72962193,,0.0825492,82.5492
